Real_Close,Predicted_Close,Absolute_Error,Direction_Real,Direction_Pred
0.43442574330837097,0.66939825,0.23497250488727722,-1.0,-1.0
0.44241121079558093,0.6694042,0.2269929978645448,1.0,1.0
0.45000370727367095,0.66937655,0.219372844831279,1.0,-1.0
0.43097797879439464,0.6693978,0.23841979256409535,-1.0,1.0
0.4325572773782161,0.6693768,0.23681951314531297,1.0,-1.0
0.4271298287239564,0.6693656,0.2422357561263549,-1.0,-1.0
0.44047601393934904,0.66931003,0.22883401938203157,1.0,-1.0
0.43107436790983905,0.66931766,0.23824329480607281,-1.0,1.0
0.4286275672870172,0.6693644,0.2407368254703986,-1.0,1.0
0.41955957588789206,0.66941303,0.24985345425966043,-1.0,1.0
0.4265070067472381,0.66942996,0.24292295111943057,1.0,1.0
0.4287462000444873,0.66944,0.24069377140250364,1.0,1.0
0.44179580336620444,0.6694247,0.22762890929172402,1.0,-1.0
0.4391265663231259,0.66938823,0.23026166829220002,-1.0,-1.0
0.4468970119374212,0.6694073,0.22251029616423285,1.0,1.0
0.44333061466597473,0.6694104,0.22607979287720764,-1.0,1.0
0.43989767924668194,0.6694321,0.22953442438719868,-1.0,1.0
0.43745829317120194,0.66944474,0.23198644664737106,-1.0,1.0
0.43566397271446583,0.6694152,0.23375120320029857,-1.0,-1.0
0.4381552606213391,0.669408,0.23125276273605228,1.0,-1.0
0.4422629198487433,0.6694178,0.22715487867039125,1.0,1.0
0.4385482316304589,0.66935676,0.2308085317324256,-1.0,-1.0
0.4425891599317861,0.6693863,0.226797167334907,1.0,1.0
0.44938829984429446,0.6693854,0.21999707374808225,1.0,-1.0
0.4540965374063914,0.66939014,0.21529360455756735,1.0,1.0
0.4627344850596871,0.6693916,0.20665708741574623,1.0,1.0
0.46907392303699863,0.6694073,0.20033338506465542,1.0,1.0
0.4635871580040039,0.6693899,0.20580274554137573,-1.0,-1.0
0.47296656039148816,0.6693947,0.19642811152547351,1.0,1.0
0.46266033958626834,0.66940135,0.20674100805090817,-1.0,1.0
0.469689330466375,0.6694285,0.19973919688881908,1.0,1.0
0.4860384073552309,0.6694161,0.1833777222338499,1.0,-1.0
0.49575146437309997,0.6694035,0.17365202903128846,1.0,-1.0
0.49807221769110993,0.66935104,0.17127882362587615,1.0,-1.0
0.49354934381256027,0.66935223,0.17580288959732132,-1.0,1.0
0.5103136353525617,0.6693472,0.15903359126715877,1.0,-1.0
0.5015496403944538,0.66938585,0.1678362100350811,-1.0,1.0
0.49664862460146814,0.66937464,0.172726020154849,-1.0,-1.0
0.48849262252539477,0.66940135,0.18090872511178174,-1.0,1.0
0.483524875806332,0.66936606,0.18584118588113746,-1.0,-1.0
0.4794691184103211,0.6693532,0.18988406867387692,-1.0,-1.0
0.47232149477274415,0.6693401,0.19701857928960326,-1.0,-1.0
0.4713576036182992,0.66936845,0.1980108422549613,-1.0,1.0
0.4634833543412175,0.6693556,0.2058722169287715,-1.0,-1.0
0.46848075924964777,0.6693463,0.20086551369575628,1.0,-1.0
0.46166679024245577,0.6693036,0.2076368057772891,-1.0,-1.0
0.46349818343590127,0.66932696,0.20582877760459556,1.0,1.0
0.4678653518202714,0.66928285,0.20141750178309165,1.0,-1.0
0.4577593237932825,0.6692962,0.21153688125051023,-1.0,1.0
0.44949951805442273,0.6693556,0.21985605321556628,-1.0,1.0
0.44460591680877887,0.66933674,0.22473081939346112,-1.0,-1.0
0.4482316304589606,0.6693453,0.22111368881212706,1.0,1.0
0.4580188329502484,0.6693277,0.2113088433459857,1.0,-1.0
0.46377252168755095,0.6693136,0.20554108791251618,1.0,-1.0
0.44987024542151693,0.66928595,0.21941570762337442,-1.0,-1.0
0.44562912434195895,0.6692988,0.2236697033062039,-1.0,1.0
0.4438792911692741,0.6693277,0.22544838512696003,-1.0,1.0
0.45081930748127824,0.66929954,0.2184802354226219,1.0,-1.0
0.45444502113145996,0.66931814,0.2148731184216101,1.0,1.0
0.45732928004745305,0.66929764,0.2119683555078143,1.0,-1.0
0.46150367020093425,0.66931456,0.2078108930734493,1.0,1.0
0.4433009564766071,0.66932434,0.2260233819595196,-1.0,1.0
0.4475494921035071,0.6693432,0.22179368140036865,1.0,1.0
0.4345517906131831,0.6693546,0.2348028269824895,-1.0,1.0
0.43226069548454066,0.66936034,0.2370996441570304,-1.0,1.0
0.44206272707051236,0.6693463,0.2272835458748917,1.0,-1.0
0.42772299251130724,0.66933244,0.24160945215650892,-1.0,-1.0
0.424645955364425,0.6693191,0.24467313786296147,-1.0,-1.0
0.41386520352932454,0.6693513,0.25548607620624064,-1.0,1.0
0.41858827018610517,0.6693718,0.25078351354726275,1.0,1.0
0.4147697783050345,0.6693775,0.2546077274742319,-1.0,1.0
0.4085119003484838,0.6693961,0.2608842020799525,-1.0,1.0
0.4150960183880774,0.6693718,0.2542757653452905,1.0,-1.0
0.42277748943427,0.6693863,0.2466088378324231,1.0,1.0
0.4163416623415141,0.66937655,0.25303488976343586,-1.0,-1.0
0.41891451026914805,0.66938704,0.25047253225328237,1.0,1.0
0.4226217839400904,0.6694302,0.24680841234515738,1.0,1.0
0.4209535107881664,0.66940826,0.24845475098780406,-1.0,-1.0
