Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,CloseMaxVSubPeriod,CloseAll_Area,CloseminVSuberiod
2014-08-18T00:00:00,97.16,95.81,96.41,0,800,18,2014,95.58,0.736241168952276,104.59
2014-08-19T00:00:00,97.05,94.26,94.48,1,800,19,2014,94.48,0.7481187924893274,104.59
2014-08-20T00:00:00,96.47,94.7,96.07,2,800,20,2014,94.48,0.7521830261891501,104.59
2014-08-21T00:00:00,94.45,92.5,93.96,3,800,21,2014,93.96,0.7552813246746045,104.59
2014-08-22T00:00:00,94.04,92.92,93.65,4,800,22,2014,93.65,0.7581416991812369,104.59
2014-08-25T00:00:00,93.95,93.05,93.35,0,800,25,2014,93.35,0.7461443403796592,104.42
2014-08-26T00:00:00,94.35,93.35,93.86,1,800,26,2014,93.35,0.6351702250972187,103.12
2014-08-27T00:00:00,94.24,93.36,93.88,2,800,27,2014,93.35,0.5436233457132573,102.09
2014-08-28T00:00:00,94.71,93.45,94.55,3,800,28,2014,93.35,0.550153333142762,102.09
2014-08-29T00:00:00,96.0,94.48,95.96,4,800,29,2014,93.35,0.5169215349420091,101.67
2014-09-02T00:00:00,95.91,92.68,92.88,1,900,2,2014,92.88,0.46790025294249593,100.97
2014-09-03T00:00:00,95.83,93.06,95.54,2,900,3,2014,92.88,0.4144621153275511,100.27
2014-09-04T00:00:00,95.39,94.16,94.45,3,900,4,2014,92.88,0.25704826465510006,98.29
2014-09-05T00:00:00,94.99,92.86,93.29,4,900,5,2014,92.88,0.26806003753580043,98.29
2014-09-08T00:00:00,93.62,91.8,92.66,0,900,8,2014,92.66,0.28611752989503836,98.29
2014-09-09T00:00:00,93.94,92.52,92.75,1,900,9,2014,92.66,0.28271469472046606,98.08
2014-09-10T00:00:00,93.03,91.22,91.67,2,900,10,2014,91.67,0.31862818929922837,98.08
2014-09-11T00:00:00,93.44,90.43,92.83,3,900,11,2014,91.67,0.33267172394847166,98.08
2014-09-12T00:00:00,93.67,91.96,92.27,4,900,12,2014,91.67,0.3465922133035459,98.08
2014-09-15T00:00:00,93.03,90.63,92.92,0,900,15,2014,91.67,0.36076423217507,98.08
2014-09-16T00:00:00,95.19,92.46,94.88,1,900,16,2014,91.67,0.3333530834977261,97.59
2014-09-17T00:00:00,95.06,93.74,94.42,2,900,17,2014,91.67,0.3464401127149934,97.59
2014-09-18T00:00:00,94.82,92.85,93.07,3,900,18,2014,91.67,0.3395338810713323,97.35
2014-09-19T00:00:00,93.22,91.85,92.41,4,900,19,2014,91.67,0.35520439597493625,97.35
2014-09-22T00:00:00,92.64,91.2,91.52,0,900,22,2014,91.52,0.2909545866029847,96.41
2014-09-23T00:00:00,92.09,90.58,91.56,1,900,23,2014,91.52,0.275186415533096,96.07
2014-09-24T00:00:00,93.29,91.12,92.8,2,900,24,2014,91.52,0.28783814876792274,96.07
2014-09-25T00:00:00,93.54,92.05,92.53,3,900,25,2014,91.52,0.29125268664277043,95.96
2014-09-26T00:00:00,93.86,92.23,93.54,4,900,26,2014,91.52,0.30339492280732044,95.96
2014-09-29T00:00:00,94.64,92.74,94.57,0,900,29,2014,91.52,0.3149928815724654,95.96
2014-09-30T00:00:00,94.9,90.86,91.16,1,900,30,2014,91.16,0.3418959176337165,95.96
2014-10-01T00:00:00,92.96,90.47,90.73,2,1000,1,2014,90.73,0.3714640182100428,95.96
2014-10-02T00:00:00,91.54,88.18,91.01,3,1000,2,2014,90.73,0.3844471975358682,95.96
2014-10-03T00:00:00,91.79,89.36,89.74,4,1000,3,2014,89.74,0.4308378988657439,95.96
2014-10-06T00:00:00,90.74,88.76,90.34,0,1000,6,2014,89.74,0.40021545340172343,95.54
2014-10-07T00:00:00,90.57,88.38,88.85,1,1000,7,2014,88.85,0.43605062308498294,95.54
2014-10-08T00:00:00,88.63,86.83,87.31,2,1000,8,2014,87.31,0.411611175504998,94.88
2014-10-09T00:00:00,87.95,84.06,85.77,3,1000,9,2014,85.77,0.44756623883017743,94.88
2014-10-10T00:00:00,86.29,83.59,85.82,4,1000,10,2014,85.77,0.47222456205029456,94.88
2014-10-13T00:00:00,85.87,84.07,85.74,0,1000,13,2014,85.74,0.4964644685798048,94.88
2014-10-14T00:00:00,85.6,81.32,81.84,1,1000,14,2014,81.84,0.5457614904277833,94.88
2014-10-15T00:00:00,82.45,80.01,81.78,2,1000,15,2014,81.78,0.5770421540798909,94.88
2014-10-16T00:00:00,84.83,79.78,82.7,3,1000,16,2014,81.78,0.6036883893766494,94.88
2014-10-17T00:00:00,84.45,82.44,82.75,4,1000,17,2014,81.78,0.6268870604524073,94.88
2014-10-20T00:00:00,83.48,81.55,82.71,0,1000,20,2014,81.78,0.6493489780401849,94.88
2014-10-21T00:00:00,84.05,82.29,82.81,1,1000,21,2014,81.78,0.6462815738848638,94.57
2014-10-22T00:00:00,83.15,80.22,80.52,2,1000,22,2014,80.52,0.6711467454202166,94.57
2014-10-23T00:00:00,82.37,80.05,82.09,3,1000,23,2014,80.52,0.6888854801993343,94.57
2014-10-24T00:00:00,81.95,80.36,81.01,4,1000,24,2014,80.52,0.7003709401259218,94.57
2014-10-27T00:00:00,81.29,79.44,81.0,0,1000,27,2014,80.52,0.7104295847487166,94.57
